Sample,GroundTruth,Prediction,GroundTruth_Label,Prediction_Label,Correct,Logit0,Logit1,Logit2,Logit3,Logit4,Prob0,Prob1,Prob2,Prob3,Prob4
1,0,4,Normal,Unknown,No,-8.425417,-13.127135,-8.168563,-9.068361,-5.809972,0.060602,0.000550,0.078350,0.031861,0.828636
2,0,0,Normal,Normal,Yes,-1.314348,-9.923959,-12.923103,-4.119449,-6.264673,0.936528,0.000171,0.000009,0.056661,0.006632
3,0,0,Normal,Normal,Yes,-2.330010,-7.140421,-12.054640,-4.678306,-5.039073,0.854456,0.006959,0.000051,0.081628,0.056906
4,0,0,Normal,Normal,Yes,1.221450,-12.095366,-13.721608,-3.655755,-3.348844,0.982342,0.000002,0.000000,0.007484,0.010172
5,0,0,Normal,Normal,Yes,-1.033623,-9.654495,-10.217628,-5.055323,-4.453266,0.951539,0.000172,0.000098,0.017054,0.031138
6,0,0,Normal,Normal,Yes,2.566072,-29.301077,-11.463344,-8.065027,-3.258033,0.997028,0.000000,0.000001,0.000024,0.002947
7,0,0,Normal,Normal,Yes,1.960661,-12.447847,-3.707126,-6.491413,-3.989233,0.993763,0.000001,0.003434,0.000212,0.002590
8,0,0,Normal,Normal,Yes,-6.780586,-10.457670,-7.882598,-8.890004,-8.284502,0.587867,0.014871,0.195291,0.071313,0.130658
9,1,1,Supraventricular,Supraventricular,Yes,-8.320223,0.461044,-7.417366,-6.370350,-6.953045,0.000153,0.997790,0.000378,0.001077,0.000601
10,0,0,Normal,Normal,Yes,-2.190353,-9.112100,-18.704666,-8.383714,-6.947789,0.988517,0.000975,0.000000,0.002019,0.008489
11,0,0,Normal,Normal,Yes,2.383190,-27.977127,-10.686282,-7.040943,-2.215428,0.989953,0.000000,0.000002,0.000080,0.009965
12,0,0,Normal,Normal,Yes,0.257367,-6.087918,-8.955392,-4.333322,-5.356558,0.984594,0.001728,0.000098,0.009990,0.003591
13,0,0,Normal,Normal,Yes,-3.095904,-7.801853,-6.336109,-6.561448,-3.785376,0.632393,0.005718,0.024762,0.019766,0.317361
14,0,0,Normal,Normal,Yes,-0.186883,-20.851791,-7.302159,-8.206566,-4.700006,0.988039,0.000000,0.000803,0.000325,0.010833
15,0,0,Normal,Normal,Yes,-2.712448,-7.715687,-5.346632,-5.819736,-3.710567,0.670337,0.004502,0.048115,0.029979,0.247067
16,0,0,Normal,Normal,Yes,7.165171,-20.152573,-12.575494,-4.868339,-5.225466,0.999990,0.000000,0.000000,0.000006,0.000004
17,0,0,Normal,Normal,Yes,-0.525439,-7.615988,-7.508215,-5.543645,-5.826965,0.986815,0.000822,0.000915,0.006529,0.004918
18,2,2,Ventricular,Ventricular,Yes,-4.640585,-7.737808,-3.073373,-9.820427,-8.930241,0.170713,0.007712,0.818274,0.000961,0.002340
19,0,0,Normal,Normal,Yes,2.267965,-26.887957,-13.053985,-8.734590,-2.719625,0.993207,0.000000,0.000000,0.000017,0.006776
