time,ctx,cfg,en,layer_done,j,k,y,n,pad_read39,pad_state39,overarray,mp_pad,mp_pad2,mp_pad3,store0,waddr0,baddr0,wvalid0,bvalid0,weight0,bias0,spix0,v0,spix1,v1,spix2,v2,s0,s0v,s1,s1v,s2,s2v,d0,d0v,ldm_en,ldm_addr,ldm_data,pixel0_out,pixel0_out_valid,pixel1_out,pixel1_out_valid
69705000,c0c3a858,5,1,0,0,0,0,0,1,1,0,1,0,0,58,120,16,1,0,ffe1,0000,0000,0,0000,0,0000,0,ffe1,1,0000,0,0000,0,0023,0,0,3f,0023,0000,0,0000,0
69715000,c0c3a858,5,1,0,1,0,0,0,1,1,0,1,0,0,58,122,16,0,0,0000,0000,0000,0,0000,0,0000,0,0000,0,0000,0,0000,0,0000,0,0,3f,0000,0000,1,002f,1
69725000,c0c3a858,5,1,0,2,0,0,0,1,1,0,1,0,0,58,124,16,1,0,0013,0000,0032,1,002f,1,0030,1,0013,1,0032,1,0000,0,0046,0,0,57,0046,0000,1,002f,1
69735000,c0c3a858,5,1,0,3,0,0,0,0,1,0,1,0,0,58,126,16,1,0,001a,0000,0030,1,002f,1,0030,1,001a,1,0030,1,0000,0,0046,0,0,57,0046,0000,1,002f,1
69745000,c0c3a858,5,1,0,4,0,0,0,0,1,0,1,0,0,58,128,16,1,0,fffc,0000,0033,1,002f,1,0030,1,fffc,1,0033,1,0000,0,000f,0,0,57,000f,002f,1,0008,1
69755000,c0c3a858,5,1,0,5,0,0,0,0,1,0,1,0,0,58,130,16,1,0,ffe1,0000,002f,1,0008,1,0030,1,ffe1,1,002f,1,0000,0,0023,0,0,57,0023,002f,1,0008,1
69765000,c0c3a858,5,1,0,6,0,0,0,0,1,0,1,0,0,58,132,16,1,0,0019,0000,0030,1,0008,1,0013,1,0019,1,0030,1,0000,0,0020,0,0,57,0020,002f,1,0008,1
69775000,c0c3a858,5,1,0,0,1,0,0,1,1,0,1,0,0,58,134,16,1,0,ffff,0000,002d,1,0008,1,0013,1,ffff,1,002d,1,0000,0,0009,0,0,57,0009,002f,1,0008,1
69785000,c0c3a858,5,1,0,1,1,0,0,1,1,0,1,0,0,58,136,16,1,0,ffff,0000,0029,1,0008,1,0013,1,ffff,1,0029,1,0000,0,001c,0,0,57,001c,0000,1,ffee,1
69795000,c0c3a858,5,1,0,2,1,0,0,1,1,0,1,0,0,58,138,16,1,0,fff9,0000,ffea,1,ffee,1,ffed,1,fff9,1,ffea,1,0000,0,001b,0,0,57,001b,0000,1,ffee,1
69805000,c0c3a858,5,1,0,3,1,0,0,0,1,0,1,0,0,58,140,16,1,0,001d,0000,ffec,1,ffee,1,ffed,1,001d,1,ffec,1,0000,0,001a,0,0,57,001a,0000,1,ffee,1
69815000,c0c3a858,5,1,0,4,1,0,0,0,1,0,1,0,0,58,142,16,1,0,fffe,0000,ffee,1,ffee,1,ffed,1,fffe,1,ffee,1,0000,0,001c,0,0,57,001c,ffee,1,ffe9,1
69825000,c0c3a858,5,1,0,5,1,0,0,0,1,0,1,0,0,58,144,16,1,0,0007,0000,ffee,1,ffe9,1,ffed,1,0007,1,ffee,1,0000,0,0013,0,0,57,0013,ffee,1,ffe9,1
69835000,c0c3a858,5,1,0,6,1,0,0,0,1,0,1,0,0,58,146,16,1,0,001d,0000,ffed,1,ffe9,1,0003,1,001d,1,ffed,1,0000,0,0014,0,0,57,0014,ffee,1,ffe9,1
69845000,c0c3a858,5,1,0,0,0,1,0,0,1,0,1,0,0,58,120,16,1,0,ffe7,0000,ffee,1,ffe9,1,0003,1,ffe7,1,ffee,1,0000,0,0012,0,0,57,0012,ffee,1,ffe9,1
69855000,c0c3a858,5,1,0,1,0,1,0,0,1,0,1,0,0,58,122,16,1,1,0003,fff5,ffed,1,ffe9,1,0003,1,0003,1,ffed,1,fff5,1,0009,0,0,57,0009,002f,1,0008,1
69865000,c0c3a858,5,1,0,2,0,1,0,0,1,0,1,0,0,58,124,16,1,0,0013,0000,ffea,1,0008,1,0013,1,0013,1,ffea,1,0000,0,0010,0,0,58,0010,002f,1,0008,1
69875000,c0c3a858,5,1,0,3,0,1,0,0,1,0,1,0,0,58,126,16,1,0,001a,0000,fff7,1,0008,1,0013,1,001a,1,fff7,1,0000,0,0004,1,1,58,0004,002f,1,0008,1
69885000,c0c3a858,5,1,0,4,0,1,0,0,1,0,1,0,0,58,128,16,1,0,fffc,0000,0001,1,0008,1,0013,1,fffc,1,0001,1,0000,0,0000,0,0,58,0000,0008,1,0024,1
