idx,row_offset,ldm_addr,pe,bank,data_hex
0,0,0,0,2,0076
1,0,0,1,2,0081
2,0,0,2,2,0083
3,0,0,3,2,0071
4,0,0,4,2,004c
5,0,0,5,2,004e
6,0,0,6,2,004c
7,0,0,7,2,0049
8,0,0,8,2,004a
9,0,0,9,2,004f
10,0,0,10,2,0055
11,0,0,11,2,0054
12,0,0,12,2,0053
13,0,0,13,2,0053
14,0,0,14,2,0055
15,0,0,15,2,0056
16,0,0,16,2,0057
17,0,0,17,2,0058
18,0,0,18,2,0057
19,0,0,19,2,005b
20,0,0,20,2,005d
21,0,0,21,2,005d
22,0,0,22,2,005b
23,0,0,23,2,005c
24,0,0,24,2,005f
25,0,0,25,2,0063
26,0,0,26,2,0063
27,0,0,27,2,0063
28,0,0,28,2,0064
29,0,0,29,2,0062
30,0,0,30,2,0061
31,0,0,31,2,0063
32,0,0,32,2,0064
33,0,0,33,2,0065
34,0,0,34,2,006b
35,0,0,35,2,006d
36,0,0,36,2,006d
37,0,0,37,2,0071
38,0,0,38,2,0071
39,0,0,39,2,0072
40,1,1,0,2,0073
41,1,1,1,2,0072
42,1,1,2,2,0071
43,1,1,3,2,0071
44,1,1,4,2,006f
45,1,1,5,2,0070
46,1,1,6,2,0072
47,1,1,7,2,0072
48,1,1,8,2,0075
49,1,1,9,2,0077
50,1,1,10,2,007b
51,1,1,11,2,007b
52,1,1,12,2,007c
53,1,1,13,2,0079
54,1,1,14,2,007b
55,1,1,15,2,007a
56,1,1,16,2,0079
57,1,1,17,2,007a
58,1,1,18,2,007c
59,1,1,19,2,0076
60,1,1,20,2,0078
61,1,1,21,2,007b
62,1,1,22,2,007b
63,1,1,23,2,007a
64,1,1,24,2,007c
65,1,1,25,2,0079
66,1,1,26,2,0078
67,1,1,27,2,0082
68,1,1,28,2,008b
69,1,1,29,2,008b
70,1,1,30,2,0089
71,1,1,31,2,0089
72,1,1,32,2,0085
73,1,1,33,2,0087
74,1,1,34,2,0088
75,1,1,35,2,008e
76,1,1,36,2,0074
77,1,1,37,2,005c
78,1,1,38,2,0088
79,1,1,39,2,0095
80,2,2,0,2,007e
81,2,2,1,2,00af
82,2,2,2,2,00f3
83,2,2,3,2,00ff
84,2,2,4,2,00ef
85,2,2,5,2,010e
86,2,2,6,2,00e5
87,2,2,7,2,00a5
88,2,2,8,2,00a2
89,2,2,9,2,00a4
90,2,2,10,2,00a7
91,2,2,11,2,00ad
92,2,2,12,2,00ae
93,2,2,13,2,00b0
94,2,2,14,2,00b4
95,2,2,15,2,00b8
96,2,2,16,2,00ba
97,2,2,17,2,00bf
98,2,2,18,2,00bf
99,2,2,19,2,00c8
100,2,2,20,2,00c8
101,2,2,21,2,00ca
102,2,2,22,2,00d0
103,2,2,23,2,00cf
104,2,2,24,2,00d3
105,2,2,25,2,00d6
106,2,2,26,2,00d9
107,2,2,27,2,00de
108,2,2,28,2,00df
109,2,2,29,2,00df
110,2,2,30,2,00e1
111,2,2,31,2,00e8
112,2,2,32,2,00ec
113,2,2,33,2,00ee
114,2,2,34,2,00f4
115,2,2,35,2,00f7
116,2,2,36,2,00fc
117,2,2,37,2,00fd
118,2,2,38,2,0100
119,2,2,39,2,0101
120,3,3,0,2,0104
121,3,3,1,2,0109
122,3,3,2,2,010b
123,3,3,3,2,010e
124,3,3,4,2,010b
125,3,3,5,2,0106
126,3,3,6,2,0108
127,3,3,7,2,0104
128,3,3,8,2,0103
129,3,3,9,2,0103
130,3,3,10,2,00fc
131,3,3,11,2,00ef
132,3,3,12,2,00e3
133,3,3,13,2,00da
134,3,3,14,2,00d4
135,3,3,15,2,00ce
136,3,3,16,2,00c7
137,3,3,17,2,00c1
138,3,3,18,2,00bd
139,3,3,19,2,00bb
140,3,3,20,2,00bd
141,3,3,21,2,00bf
142,3,3,22,2,00c1
143,3,3,23,2,00bd
144,3,3,24,2,00b9
145,3,3,25,2,00be
146,3,3,26,2,00be
147,3,3,27,2,00c0
148,3,3,28,2,00c1
149,3,3,29,2,00bb
150,3,3,30,2,00b5
151,3,3,31,2,00b4
152,3,3,32,2,00b8
153,3,3,33,2,00bf
154,3,3,34,2,00bf
155,3,3,35,2,00bf
156,3,3,36,2,00ca
157,3,3,37,2,00c4
158,3,3,38,2,00be
159,3,3,39,2,00a0
160,4,4,0,2,0070
161,4,4,1,2,0080
162,4,4,2,2,0088
163,4,4,3,2,0078
164,4,4,4,2,006c
165,4,4,5,2,006c
166,4,4,6,2,0069
167,4,4,7,2,0065
168,4,4,8,2,0068
169,4,4,9,2,0068
170,4,4,10,2,006e
171,4,4,11,2,006f
172,4,4,12,2,0073
173,4,4,13,2,0078
174,4,4,14,2,0078
175,4,4,15,2,007a
176,4,4,16,2,007a
177,4,4,17,2,0078
178,4,4,18,2,007b
179,4,4,19,2,007f
180,4,4,20,2,0080
181,4,4,21,2,0081
182,4,4,22,2,007e
183,4,4,23,2,0081
184,4,4,24,2,0085
185,4,4,25,2,0088
186,4,4,26,2,0088
187,4,4,27,2,008b
188,4,4,28,2,0089
189,4,4,29,2,0088
190,4,4,30,2,008a
191,4,4,31,2,0090
192,4,4,32,2,0091
193,4,4,33,2,0093
194,4,4,34,2,0093
195,4,4,35,2,0096
196,4,4,36,2,009b
197,4,4,37,2,00a0
198,4,4,38,2,00a1
199,4,4,39,2,00a1
200,5,5,0,2,00a1
201,5,5,1,2,00a1
202,5,5,2,2,00a2
203,5,5,3,2,00a5
204,5,5,4,2,00a5
205,5,5,5,2,00a6
206,5,5,6,2,00a5
207,5,5,7,2,00a5
208,5,5,8,2,00aa
209,5,5,9,2,00af
210,5,5,10,2,00b0
211,5,5,11,2,00b4
212,5,5,12,2,00b5
213,5,5,13,2,00b5
214,5,5,14,2,00b7
215,5,5,15,2,00b9
216,5,5,16,2,00b8
217,5,5,17,2,00bb
218,5,5,18,2,00b8
219,5,5,19,2,00b3
220,5,5,20,2,00b6
221,5,5,21,2,00b7
222,5,5,22,2,00ba
223,5,5,23,2,00bb
224,5,5,24,2,00bb
225,5,5,25,2,00b8
226,5,5,26,2,00ba
227,5,5,27,2,00c0
228,5,5,28,2,00c4
229,5,5,29,2,00c6
230,5,5,30,2,00c5
231,5,5,31,2,00ce
232,5,5,32,2,00cd
233,5,5,33,2,00e5
234,5,5,34,2,011f
235,5,5,35,2,0131
236,5,5,36,2,010e
237,5,5,37,2,00d5
238,5,5,38,2,00b1
239,5,5,39,2,00cd
240,6,6,0,2,00dc
241,6,6,1,2,0112
242,6,6,2,2,0167
243,6,6,3,2,0176
244,6,6,4,2,016c
245,6,6,5,2,0158
246,6,6,6,2,0120
247,6,6,7,2,0108
248,6,6,8,2,00f7
249,6,6,9,2,00f8
250,6,6,10,2,00fa
251,6,6,11,2,00fc
252,6,6,12,2,00fe
253,6,6,13,2,0103
254,6,6,14,2,010c
255,6,6,15,2,010f
256,6,6,16,2,0116
257,6,6,17,2,0118
258,6,6,18,2,011b
259,6,6,19,2,0121
260,6,6,20,2,0123
261,6,6,21,2,012f
262,6,6,22,2,0139
263,6,6,23,2,013b
264,6,6,24,2,0142
265,6,6,25,2,0145
266,6,6,26,2,0148
267,6,6,27,2,014b
268,6,6,28,2,014e
269,6,6,29,2,0153
270,6,6,30,2,0158
271,6,6,31,2,015c
272,6,6,32,2,015f
273,6,6,33,2,0161
274,6,6,34,2,0171
275,6,6,35,2,0179
276,6,6,36,2,0183
277,6,6,37,2,0183
278,6,6,38,2,0188
279,6,6,39,2,0186
280,7,7,0,2,018f
281,7,7,1,2,019a
282,7,7,2,2,01a0
283,7,7,3,2,01a6
284,7,7,4,2,01a6
285,7,7,5,2,01a4
286,7,7,6,2,01a0
287,7,7,7,2,0198
288,7,7,8,2,0193
289,7,7,9,2,018e
290,7,7,10,2,017f
291,7,7,11,2,016a
292,7,7,12,2,0155
293,7,7,13,2,014a
294,7,7,14,2,013b
295,7,7,15,2,0137
296,7,7,16,2,012d
297,7,7,17,2,012a
298,7,7,18,2,0127
299,7,7,19,2,012a
300,7,7,20,2,012a
301,7,7,21,2,012a
302,7,7,22,2,012c
303,7,7,23,2,0127
304,7,7,24,2,012a
305,7,7,25,2,012f
306,7,7,26,2,012f
307,7,7,27,2,0131
308,7,7,28,2,0129
309,7,7,29,2,0121
310,7,7,30,2,0117
311,7,7,31,2,0116
